"","iso3","country","cow_code","NAMES_STD","exist_unemp","unemp_firstlaw","year"
"12383","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1955
"12384","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1955
"12385","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1955
"12386","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1955
"12387","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1955
"12388","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1955
"12389","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1955
"12390","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1955
"12391","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1955
"12392","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1955
"12393","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1955
"12394","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1955
"12395","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1955
"12396","MKD",NA,NA,NA,NA,NA,1955
"12397","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1955
"12398","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1955
"12399","MNE",NA,NA,NA,NA,NA,1955
"12400","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1955
"12401","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1955
"12402","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1955
"12403","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1955
"12404","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1955
"12405","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1955
"12406","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1955
"12407","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1955
"12408","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1955
"12409","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1955
"12410","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1955
"12411","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1955
"12412","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1955
"12413","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1955
"12414","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1955
"12415","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1955
"12416","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1955
"12417","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1955
"12418","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1955
"12419","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1955
"12420","POL","Poland",290,"Poland","unemployment benefit programme",1924,1955
"12421","PRK",NA,NA,NA,NA,NA,1955
"12422","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1955
"12423","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1955
"12424","QAT","Qatar",694,"Qatar",NA,NA,1955
"12425","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1955
"12426","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1955
"12427","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1955
"12428","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1955
"12429","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1955
"12430","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1955
"12431","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1955
"12432","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1955
"12433","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1955
"12434","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1955
"12435","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1955
"12436","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1955
"12437","SSD",NA,NA,NA,NA,NA,1955
"12438","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1955
"12439","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1955
"12440","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1955
"12441","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1955
"12442","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1955
"12443","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1955
"12444","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1955
"12445","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1955
"12446","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1955
"12447","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1955
"12448","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1955
"12449","TLS",NA,NA,NA,NA,NA,1955
"12450","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1955
"12451","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1955
"12452","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1955
"12453","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1955
"12454","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1955
"12455","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1955
"12456","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1955
"12457","USA","United States of America",2,"United States","unemployment benefit programme",1935,1955
"12458","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1955
"12459","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1955
"12460","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1955
"12461","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1955
"12462","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1955
"12463","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1955
"12464","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1955
"12465","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1956
"12466","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1956
"12467","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1956
"12468","ARE",NA,NA,NA,NA,NA,1956
"12469","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1956
"12470","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1956
"12471","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1956
"12472","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1956
"12473","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1956
"12474","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1956
"12475","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1956
"12476","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1956
"12477","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1956
"12478","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1956
"12479","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1956
"12480","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1956
"12481","BIH",NA,NA,NA,NA,NA,1956
"12482","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1956
"12483","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1956
"12484","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1956
"12485","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1956
"12486","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1956
"12487","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1956
"12488","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1956
"12489","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1956
"12490","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1956
"12491","CHN","China",710,"China","unemployment benefit programme",1986,1956
"12492","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1956
"12493","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1956
"12494","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1956
"12495","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1956
"12496","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1956
"12497","COM",NA,NA,NA,NA,NA,1956
"12498","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1956
"12499","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1956
"12500","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1956
"12501","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1956
"12502","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1956
"12503","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1956
"12504","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1956
"12505","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1956
"12506","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1956
"12507","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1956
"12508","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1956
"12509","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1956
"12510","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1956
"12511","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1956
"12512","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1956
"12513","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1956
"12514","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1956
"12515","FRA","France",220,"France","unemployment benefit programme",1905,1956
"12516","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1956
"12517","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1956
"12518","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1956
"12519","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1956
"12520","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1956
"12521","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1956
"12522","GNB",NA,NA,NA,NA,NA,1956
"12523","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1956
"12524","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1956
"12525","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1956
"12526","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1956
"12527","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1956
"12528","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1956
"12529","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1956
"12530","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1956
"12531","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1956
"12532","IND","India",750,"India","unemployment benefit programme",2005,1956
"12533","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1956
"12534","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1956
"12535","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1956
"12536","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1956
"12537","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1956
"12538","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1956
"12539","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1956
"12540","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1956
"12541","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1956
"12542","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1956
"12543","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1956
"12544","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1956
"12545","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1956
"12546","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1956
"12547","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1956
"12548","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1956
"12549","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1956
"12550","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1956
"12551","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1956
"12552","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1956
"12553","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1956
"12554","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1956
"12555","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1956
"12556","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1956
"12557","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1956
"12558","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1956
"12559","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1956
"12560","MKD",NA,NA,NA,NA,NA,1956
"12561","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1956
"12562","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1956
"12563","MNE",NA,NA,NA,NA,NA,1956
"12564","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1956
"12565","MOZ","Mozambique",541,"Mozambique","no umemployment insurance anchored in legislation",NA,1956
"12566","MRT","Mauritania",435,"Mauritania","no umemployment insurance anchored in legislation",NA,1956
"12567","MUS","Mauritius",590,"Mauritius","unemployment benefit programme",1983,1956
"12568","MWI","Malawi",553,"Malawi","severance payment but no unemployment benefit programme",NA,1956
"12569","MYS","Malaysia",820,"Malaysia","severance payment but no unemployment benefit programme",NA,1956
"12570","NAM","Namibia",565,"Namibia","severance payment but no unemployment benefit programme",NA,1956
"12571","NER","Niger",436,"Niger","no umemployment insurance anchored in legislation",NA,1956
"12572","NGA","Nigeria",475,"Nigeria","unemployment benefit programme",1961,1956
"12573","NIC","Nicaragua",93,"Nicaragua","no umemployment insurance anchored in legislation",NA,1956
"12574","NLD","Netherlands",210,"Netherlands","unemployment benefit programme",1916,1956
"12575","NOR","Norway",385,"Norway","unemployment benefit programme",1906,1956
"12576","NPL","Nepal",790,"Nepal","severance payment but no unemployment benefit programme",NA,1956
"12577","NZL","New Zealand",920,"New Zealand","unemployment benefit programme",1938,1956
"12578","OMN","Oman",698,"Oman","no umemployment insurance anchored in legislation",NA,1956
"12579","PAK","Pakistan",770,"Pakistan","severance payment but no unemployment benefit programme",NA,1956
"12580","PAN","Panama",95,"Panama","severance payment but no unemployment benefit programme",NA,1956
"12581","PER","Peru",135,"Peru","severance payment but no unemployment benefit programme",NA,1956
"12582","PHL","Philippines",840,"Philippines","severance payment but no unemployment benefit programme",NA,1956
"12583","PNG","Papua New Guinea",910,"Papua New Guinea","no umemployment insurance anchored in legislation",NA,1956
"12584","POL","Poland",290,"Poland","unemployment benefit programme",1924,1956
"12585","PRK",NA,NA,NA,NA,NA,1956
"12586","PRT","Portugal",235,"Portugal","unemployment benefit programme",1975,1956
"12587","PRY","Paraguay",150,"Paraguay","no umemployment insurance anchored in legislation",NA,1956
"12588","QAT","Qatar",694,"Qatar",NA,NA,1956
"12589","ROU","Romania",360,"Romania","unemployment benefit programme",1991,1956
"12590","RUS","Russia",365,"Russia","unemployment benefit programme",1917,1956
"12591","RWA","Rwanda",517,"Rwanda","severance payment but no unemployment benefit programme",NA,1956
"12592","SAU","Saudi Arabia",670,"Saudi Arabia","unemployment benefit programme",2014,1956
"12593","SDN","Sudan",625,"Sudan","severance payment but no unemployment benefit programme",NA,1956
"12594","SEN","Senegal",433,"Senegal","no umemployment insurance anchored in legislation",NA,1956
"12595","SGP","Singapore",830,"Singapore","no umemployment insurance anchored in legislation",NA,1956
"12596","SLB","Solomon Islands",940,"Solomon Islands","no umemployment insurance anchored in legislation",NA,1956
"12597","SLE","Sierra Leone",451,"Sierra Leone","no umemployment insurance anchored in legislation",NA,1956
"12598","SLV","El Salvador",92,"El Salvador","severance payment but no unemployment benefit programme",NA,1956
"12599","SOM","Somalia",520,"Somalia","no umemployment insurance anchored in legislation",NA,1956
"12600","SRB","Serbia",345,"Yugoslavia","unemployment benefit programme",1935,1956
"12601","SSD",NA,NA,NA,NA,NA,1956
"12602","SUR","Suriname",115,"Suriname","no umemployment insurance anchored in legislation",NA,1956
"12603","SVK","Slovakia",317,"Slovak Republic","unemployment benefit programme",1921,1956
"12604","SVN","Slovenia",349,"Slovenia","unemployment benefit programme",1935,1956
"12605","SWE","Sweden",380,"Sweden","unemployment benefit programme",1934,1956
"12606","SWZ","Swaziland",572,"Swaziland","no umemployment insurance anchored in legislation",NA,1956
"12607","SYR","Syria",652,"Syria","severance payment but no unemployment benefit programme",NA,1956
"12608","TCD","Chad",483,"Chad","severance payment but no unemployment benefit programme",NA,1956
"12609","TGO","Togo",461,"Togo","no umemployment insurance anchored in legislation",NA,1956
"12610","THA","Thailand",800,"Thailand","unemployment benefit programme",1990,1956
"12611","TJK","Tajikistan",702,"Tajikistan","unemployment benefit programme",2003,1956
"12612","TKM","Turkmenistan",701,"Turkmenistan","unemployment benefit programme",1991,1956
"12613","TLS",NA,NA,NA,NA,NA,1956
"12614","TTO","Trinidad and Tobago",52,"Trinidad and Tobago","severance payment but no unemployment benefit programme",NA,1956
"12615","TUN","Tunisia",616,"Tunisia","unemployment benefit programme",1982,1956
"12616","TUR","Turkey",640,"Turkey","unemployment benefit programme",1999,1956
"12617","TZA","Tanzania",510,"Tanzania","severance payment but no unemployment benefit programme",NA,1956
"12618","UGA","Uganda",500,"Uganda","severance payment but no unemployment benefit programme",NA,1956
"12619","UKR","Ukraine",369,"Ukraine","unemployment benefit programme",2000,1956
"12620","URY","Uruguay",165,"Uruguay","unemployment benefit programme",1981,1956
"12621","USA","United States of America",2,"United States","unemployment benefit programme",1935,1956
"12622","UZB","Uzbekistan",704,"Uzbekistan","unemployment benefit programme",1992,1956
"12623","VEN","Venezuela",101,"Venezuela","unemployment benefit programme",1985,1956
"12624","VNM","Vietnam",816,"Vietnam","unemployment benefit programme",2006,1956
"12625","YEM","Yemen",679,"Yemen","severance payment but no unemployment benefit programme",NA,1956
"12626","ZAF","South Africa",560,"South Africa","unemployment benefit programme",1937,1956
"12627","ZMB","Zambia",551,"Zambia","severance payment but no unemployment benefit programme",NA,1956
"12628","ZWE","Zimbabwe",552,"Zimbabwe","no umemployment insurance anchored in legislation",NA,1956
"12629","AFG","Afghanistan",700,"Afghanistan","no umemployment insurance anchored in legislation",NA,1957
"12630","AGO","Angola",540,"Angola","severance payment but no unemployment benefit programme",NA,1957
"12631","ALB","Albania",339,"Albania","no umemployment insurance anchored in legislation",NA,1957
"12632","ARE",NA,NA,NA,NA,NA,1957
"12633","ARG","Argentina",160,"Argentina","unemployment benefit programme",1991,1957
"12634","ARM","Armenia",371,"Armenia","severance payment but no unemployment benefit programme",NA,1957
"12635","AUS","Australia",900,"Australia","unemployment benefit programme",1944,1957
"12636","AUT","Austria",305,"Austria","unemployment benefit programme",1920,1957
"12637","AZE","Azerbaijan",373,"Azerbaijan","unemployment benefit programme",2001,1957
"12638","BDI","Burundi",516,"Burundi","no umemployment insurance anchored in legislation",NA,1957
"12639","BEL","Belgium",211,"Belgium","unemployment benefit programme",1920,1957
"12640","BEN","Benin",434,"Benin","no umemployment insurance anchored in legislation",NA,1957
"12641","BFA","Burkina Faso",439,"Burkina Faso","no umemployment insurance anchored in legislation",NA,1957
"12642","BGD","Bangladesh",771,"Bangladesh","severance payment but no unemployment benefit programme",NA,1957
"12643","BGR","Bulgaria",355,"Bulgaria","unemployment benefit programme",1925,1957
"12644","BHR","Bahrain",692,"Bahrain","unemployment benefit programme",2006,1957
"12645","BIH",NA,NA,NA,NA,NA,1957
"12646","BLR","Belarus",370,"Belarus","unemployment benefit programme",2006,1957
"12647","BOL","Bolivia",145,"Bolivia","severance payment but no unemployment benefit programme",NA,1957
"12648","BRA","Brazil",140,"Brazil","unemployment benefit programme",1986,1957
"12649","BTN","Bhutan",760,"Bhutan","no umemployment insurance anchored in legislation",NA,1957
"12650","BWA","Botswana",571,"Botswana","severance payment but no unemployment benefit programme",NA,1957
"12651","CAF","Central African Republic",482,"Central African Republic","no umemployment insurance anchored in legislation",NA,1957
"12652","CAN","Canada",20,"Canada","unemployment benefit programme",1940,1957
"12653","CHE","Switzerland",225,"Switzerland","unemployment benefit programme",1924,1957
"12654","CHL","Chile",155,"Chile","unemployment benefit programme",2001,1957
"12655","CHN","China",710,"China","unemployment benefit programme",1986,1957
"12656","CIV","Ivory Coast",437,"Cote d'Ivoire","severance payment but no unemployment benefit programme",NA,1957
"12657","CMR","Cameroon",471,"Cameroon","severance payment but no unemployment benefit programme",NA,1957
"12658","COD","Democratic Republic of the Congo",490,"Democratic Republic of the Congo","no umemployment insurance anchored in legislation",NA,1957
"12659","COG","Congo",484,"Congo","no umemployment insurance anchored in legislation",NA,1957
"12660","COL","Colombia",100,"Colombia","unemployment benefit programme",2002,1957
"12661","COM",NA,NA,NA,NA,NA,1957
"12662","CPV","Cape Verde",402,"Cape Verde","unemployment benefit programme",2016,1957
"12663","CRI","Costa Rica",94,"Costa Rica","severance payment but no unemployment benefit programme",NA,1957
"12664","CUB","Cuba",40,"Cuba","no umemployment insurance anchored in legislation",NA,1957
"12665","CYP","Cyprus",352,"Cyprus","unemployment benefit programme",1956,1957
"12666","CZE","Czech Republic",316,"Czech Republic","unemployment benefit programme",1918,1957
"12667","DEU","Germany",255,"Germany","unemployment benefit programme",1927,1957
"12668","DJI","Djibouti",522,"Djibouti","no umemployment insurance anchored in legislation",NA,1957
"12669","DNK","Denmark",390,"Denmark","unemployment benefit programme",1907,1957
"12670","DOM","Dominican Republic",42,"Dominican Republic","no umemployment insurance anchored in legislation",NA,1957
"12671","DZA","Algeria",615,"Algeria","unemployment benefit programme",1994,1957
"12672","ECU","Ecuador",130,"Ecuador","unemployment benefit programme",2001,1957
"12673","EGY","Egypt",651,"Egypt","unemployment benefit programme",1964,1957
"12674","ESP","Spain",230,"Spain","unemployment benefit programme",1919,1957
"12675","EST","Estonia",366,"Estonia","unemployment benefit programme",1991,1957
"12676","ETH","Ethiopia",530,"Ethiopia","severance payment but no unemployment benefit programme",NA,1957
"12677","FIN","Finland",375,"Finland","unemployment benefit programme",1917,1957
"12678","FJI","Fiji",950,"Fiji","no umemployment insurance anchored in legislation",NA,1957
"12679","FRA","France",220,"France","unemployment benefit programme",1905,1957
"12680","GAB","Gabon",481,"Gabon","severance payment but no unemployment benefit programme",NA,1957
"12681","GBR","United Kingdom",200,"United Kingdom","unemployment benefit programme",1911,1957
"12682","GEO","Georgia",372,"Georgia","severance payment but no unemployment benefit programme",NA,1957
"12683","GHA","Ghana",452,"Ghana","no umemployment insurance anchored in legislation",NA,1957
"12684","GIN","Guinea",438,"Guinea","no umemployment insurance anchored in legislation",NA,1957
"12685","GMB","Gambia",420,"Gambia","severance payment but no unemployment benefit programme",NA,1957
"12686","GNB",NA,NA,NA,NA,NA,1957
"12687","GNQ","Equatorial Guinea",411,"Equatorial Guinea","severance payment but no unemployment benefit programme",NA,1957
"12688","GRC","Greece",350,"Greece","unemployment benefit programme",1945,1957
"12689","GTM","Guatemala",90,"Guatemala","severance payment but no unemployment benefit programme",NA,1957
"12690","GUY","Guyana",110,"Guyana","severance payment but no unemployment benefit programme",NA,1957
"12691","HND","Honduras",91,"Honduras","unemployment benefit programme",2015,1957
"12692","HRV","Croatia",344,"Croatia","unemployment benefit programme",1935,1957
"12693","HTI","Haiti",41,"Haiti","no umemployment insurance anchored in legislation",NA,1957
"12694","HUN","Hungary",310,"Hungary","unemployment benefit programme",1957,1957
"12695","IDN","Indonesia",850,"Indonesia","severance payment but no unemployment benefit programme",NA,1957
"12696","IND","India",750,"India","unemployment benefit programme",2005,1957
"12697","IRL","Ireland",205,"Ireland","unemployment benefit programme",1922,1957
"12698","IRN","Iran",630,"Iran","unemployment benefit programme",1987,1957
"12699","IRQ","Iraq",645,"Iraq","severance payment but no unemployment benefit programme",NA,1957
"12700","ISR","Israel",666,"Israel","unemployment benefit programme",1972,1957
"12701","ITA","Italy",325,"Italy","unemployment benefit programme",1919,1957
"12702","JAM","Jamaica",51,"Jamaica","no umemployment insurance anchored in legislation",NA,1957
"12703","JOR","Jordan",663,"Jordan","unemployment benefit programme",2010,1957
"12704","JPN","Japan",740,"Japan","unemployment benefit programme",1947,1957
"12705","KAZ","Kazakhstan",705,"Kazakhstan","unemployment benefit programme",2003,1957
"12706","KEN","Kenya",501,"Kenya","no umemployment insurance anchored in legislation",NA,1957
"12707","KGZ","Kyrgyzstan",703,"Kyrgyz Republic","unemployment benefit programme",1998,1957
"12708","KHM","Cambodia",811,"Cambodia","severance payment but no unemployment benefit programme",NA,1957
"12709","KOR","South Korea",732,"South Korea","unemployment benefit programme",1993,1957
"12710","KWT","Kuwait",690,"Kuwait","unemployment benefit programme",2013,1957
"12711","LAO","Laos",812,"Laos","unemployment benefit programme",2013,1957
"12712","LBN","Lebanon",660,"Lebanon","no umemployment insurance anchored in legislation",NA,1957
"12713","LBR","Liberia",450,"Liberia","no umemployment insurance anchored in legislation",NA,1957
"12714","LBY","Libya",620,"Libya","severance payment but no unemployment benefit programme",NA,1957
"12715","LKA","Sri Lanka",780,"Sri Lanka","severance payment but no unemployment benefit programme",NA,1957
"12716","LSO","Lesotho",570,"Lesotho","severance payment but no unemployment benefit programme",NA,1957
"12717","LTU","Lithuania",368,"Lithuania","unemployment benefit programme",1990,1957
"12718","LUX","Luxembourg",212,"Luxembourg","unemployment benefit programme",1920,1957
"12719","LVA","Latvia",367,"Latvia","unemployment benefit programme",1991,1957
"12720","MAR","Morocco",600,"Morocco","unemployment benefit programme",2014,1957
"12721","MDA","Moldova",359,"Moldova","unemployment benefit programme",1992,1957
"12722","MDG","Madagascar",580,"Madagascar","no umemployment insurance anchored in legislation",NA,1957
"12723","MEX","Mexico",70,"Mexico","severance payment but no unemployment benefit programme",NA,1957
"12724","MKD",NA,NA,NA,NA,NA,1957
"12725","MLI","Mali",432,"Mali","severance payment but no unemployment benefit programme",NA,1957
"12726","MMR","Myanmar",775,"Myanmar","unemployment benefit programme",2012,1957
"12727","MNE",NA,NA,NA,NA,NA,1957
"12728","MNG","Mongolia",712,"Mongolia","unemployment benefit programme",1994,1957
